station_id,uid,name,address,latitude,longitude,free_bikes,empty_slots,slots,renting,returning,last_updated,timestamp
sample-001,175,Calle Juan XXIII,Juan XXIII - Domingo Gomez,39.492557,-0.382803,15,0,15,True,True,2026-05-21T01:12:22,2026-05-21T23:28:53Z
sample-002,135,Avenida Constitucion,Constitucion - Reus,39.48567,-0.378592,16,3,20,True,True,2026-05-21T01:12:23,2026-05-21T23:28:53Z
sample-003,63,Avenida Del Puerto I,Av Puerto 19,39.467747,-0.358505,0,0,20,True,True,2026-05-21T01:11:47,2026-05-21T23:28:53Z
sample-004,30,Cirilo Amoros,Cirilo Amoros - Jorge Juan,39.468569,-0.36859,0,20,20,True,True,2026-05-21T13:31:52,2026-05-21T23:28:53Z
sample-005,16,Colon I,Colon 60,39.47006,-0.370524,0,20,20,True,True,2026-05-21T01:13:28,2026-05-21T23:28:53Z
sample-006,88,Avenida Blasco Ibanez 3,Blasco Ibanez 28,39.47748,-0.361233,1,39,40,True,True,2026-05-21T01:12:52,2026-05-21T23:28:53Z
sample-007,39,Avenida Peris Y Valero,Peris y Valero - Cuba,39.457822,-0.374022,19,0,19,True,True,2026-05-21T18:07:26,2026-05-21T23:28:53Z
sample-008,89,Avenida Blasco Ibanez,Blasco Ibanez 23,39.47777,-0.359409,0,30,30,True,True,2026-05-21T01:11:46,2026-05-21T23:28:53Z
sample-009,223,Valle Ballestera,Valle de la Ballestera - Hospital Nueve de Octubre,39.478526,-0.401278,14,6,20,True,True,2026-05-21T01:11:32,2026-05-21T23:28:53Z
sample-010,44,Avenida Amado Granell,General Urrutia - Av de la Plata,39.456397,-0.363105,18,1,19,True,True,2026-05-21T01:12:56,2026-05-21T23:28:53Z
sample-011,189,Hospital Nueva Fe,Hospital Nueva Fe administracion,39.444747,-0.377156,0,30,30,True,True,2026-05-21T01:11:46,2026-05-21T23:28:53Z
sample-012,173,Avenida Pio XII 34,Pio XII - Monestir de Poblet,39.484509,-0.394769,4,16,20,True,True,2026-05-21T01:11:56,2026-05-21T23:28:53Z
sample-013,172,Avenida Pio XII,Pio XII - Campanar,39.48143,-0.393436,2,18,20,True,True,2026-05-21T01:13:29,2026-05-21T23:28:53Z
sample-014,32,Conde De Altea,Conde Altea - Almirante Cadarso,39.465974,-0.368338,1,18,20,True,True,2026-05-21T01:13:13,2026-05-21T23:28:53Z
sample-015,264,Avenida Del Cid Marconi,Av del Cid - Marconi,39.469128,-0.414523,12,8,20,True,True,2026-05-21T01:12:53,2026-05-21T23:28:53Z
sample-016,54,Paseo Alameda,Plaza de Europa,39.459746,-0.352781,7,13,20,True,True,2026-05-21T01:13:22,2026-05-21T23:28:53Z
sample-017,273,Calle Moraira,Moraira - Alta del Mar,39.450273,-0.333363,10,0,15,True,True,2026-05-21T01:11:33,2026-05-21T23:28:53Z
sample-018,222,Maestro Rodrigo,Maestro Rodrigo - Manuel de Falla,39.476861,-0.397373,10,10,20,True,True,2026-05-21T01:12:20,2026-05-21T23:28:53Z
sample-019,78,Avenida Aragon I,Aragon - Vicente Sancho Tello,39.469913,-0.358779,1,17,20,True,True,2026-05-21T01:15:15,2026-05-21T23:28:53Z
sample-020,61,Vicente Vidal,Vicent Vidal - Pintor Maella,39.461261,-0.347921,19,1,20,True,True,2026-05-21T01:12:00,2026-05-21T23:28:53Z
sample-021,263,Padre Esteban Pernet,Padre Esteban Pernet - Casa Misericordia,39.467011,-0.409735,6,12,18,True,True,2026-05-21T01:11:38,2026-05-21T23:28:53Z
sample-022,235,Conde Torrefiel,Conde Torrefiel - Cecilio Pla,39.498013,-0.377294,14,1,15,True,True,2026-05-21T03:51:48,2026-05-21T23:28:53Z
sample-023,229,Calle Aitana,Aitana - Florista,39.493072,-0.394897,2,14,16,True,True,2026-05-21T01:11:37,2026-05-21T23:28:53Z
sample-024,184,Bombero Ramon Duart,Bombero Ramon Duart - Hermanos Maristas,39.45275,-0.365661,1,14,15,True,True,2026-05-21T01:13:29,2026-05-21T23:28:53Z
sample-025,95,Avenida De Los Naranjos,Naranjos Magisterio,39.479803,-0.34621,0,32,33,True,True,2026-05-21T17:51:17,2026-05-21T23:28:53Z
sample-026,107,Campillo Alto Buey,Campillo de Altobuey,39.474824,-0.336499,9,1,15,True,True,2026-05-21T16:31:01,2026-05-21T23:28:53Z
sample-027,140,Avenida Campanar,Campanar - Nicasio Benlloch,39.487972,-0.389691,18,1,20,True,True,2026-05-21T09:55:10,2026-05-21T23:28:53Z
sample-028,42,Avenida De La Plata,Av de la Plata - Museo Fallero,39.458749,-0.358749,14,6,20,True,True,2026-05-21T01:12:37,2026-05-21T23:28:53Z
sample-029,102,Avenida Ramon Llull,Ramon Llull - Serpis,39.475801,-0.346811,13,6,20,True,True,2026-05-21T10:25:57,2026-05-21T23:28:53Z
sample-030,18,Colon II,Colon 20-22,39.468159,-0.37322,0,24,24,True,True,2026-05-21T01:13:26,2026-05-21T23:28:53Z
