station_id,uid,name,address,latitude,longitude,free_bikes,empty_slots,slots,renting,returning,last_updated,timestamp,capacity,bike_ratio,dock_ratio,imbalance,operational,status,recommended_action,priority_score,zone_id,zone,neighbor_bike_ratio,neighbor_imbalance,neighbor_critical_share,nearest_neighbor_km,isolation_score,local_pressure,station_risk_score,risk_band
sample-001,175,Calle Juan Xxiii,Juan XXIII - Domingo Gomez,39.492557,-0.382803,15,0,15,True,True,2026-05-21T01:12:22,2026-05-21T23:28:53Z,15,1.0,0.0,1.0,True,Sin anclajes,Retirar bicicletas,87.5,5,Zona 5,0.6895833333333334,0.7541666666666667,0.75,0.769098958609118,0.3836598468615183,0.7516666666666667,79.5,crítico
sample-002,135,Avenida Constitucion,Constitucion - Reus,39.48567,-0.378592,16,3,20,True,True,2026-05-21T01:12:23,2026-05-21T23:28:53Z,20,0.8,0.15,0.6000000000000001,True,Desequilibrada,Monitorizar,31.0,5,Zona 5,0.7333333333333334,0.8666666666666667,1.0,0.8467776499242988,0.432575127212498,0.9466666666666667,50.7,moderado
sample-003,63,Avenida Del Puerto I,Av Puerto 19,39.467747,-0.358505,0,0,20,True,True,2026-05-21T01:11:47,2026-05-21T23:28:53Z,20,0.0,0.0,1.0,True,Critica mixta,Comprobar estacion,90.0,4,Zona 4,0.19999999999999998,0.7999999999999999,0.75,0.2419939017046877,0.05173494961675165,0.77,77.4,crítico
sample-004,30,Cirilo Amoros,Cirilo Amoros - Jorge Juan,39.468569,-0.36859,0,20,20,True,True,2026-05-21T13:31:52,2026-05-21T23:28:53Z,20,0.0,1.0,1.0,True,Sin bicis,Enviar bicicletas,90.0,4,Zona 4,0.025,0.95,1.0,0.23462055668778767,0.04709185853836631,0.98,82.6,crítico
sample-005,16,Colon I,Colon 60,39.47006,-0.370524,0,20,20,True,True,2026-05-21T01:13:28,2026-05-21T23:28:53Z,20,0.0,1.0,1.0,True,Sin bicis,Enviar bicicletas,90.0,4,Zona 4,0.025,0.95,1.0,0.23462055668778767,0.04709185853836631,0.98,82.6,crítico
sample-006,88,Avenida Blasco Ibanez 3,Blasco Ibanez 28,39.47748,-0.361233,1,39,40,True,True,2026-05-21T01:12:52,2026-05-21T23:28:53Z,40,0.025,0.975,0.95,True,Sin bicis,Enviar bicicletas,87.0,4,Zona 4,0.0125,0.975,1.0,0.15983750491720428,0.0,0.99,80.2,crítico
sample-007,39,Avenida Peris Y Valero,Peris y Valero - Cuba,39.457822,-0.374022,19,0,19,True,True,2026-05-21T18:07:26,2026-05-21T23:28:53Z,19,1.0,0.0,1.0,True,Sin anclajes,Retirar bicicletas,89.5,3,Zona 3,0.2660087719298246,0.9153508771929825,1.0,0.9128911606403373,0.47420766320027297,0.966140350877193,87.1,crítico
sample-008,89,Avenida Blasco Ibanez,Blasco Ibanez 23,39.47777,-0.359409,0,30,30,True,True,2026-05-21T01:11:46,2026-05-21T23:28:53Z,30,0.0,1.0,1.0,True,Sin bicis,Enviar bicicletas,95.0,4,Zona 4,0.18125000000000002,0.7875000000000001,0.75,0.15983750491720428,0.0,0.765,79.4,crítico
sample-009,223,Valle Ballestera,Valle de la Ballestera - Hospital Nueve de Octubre,39.478526,-0.401278,14,6,20,True,True,2026-05-21T01:11:32,2026-05-21T23:28:53Z,20,0.7,0.3,0.3999999999999999,True,Desequilibrada,Monitorizar,24.0,1,Zona 1,0.42500000000000004,0.55,0.5,0.3828948551656579,0.14046210919644397,0.52,31.1,bajo
sample-010,44,Avenida Amado Granell,General Urrutia - Av de la Plata,39.456397,-0.363105,18,1,19,True,True,2026-05-21T01:12:56,2026-05-21T23:28:53Z,19,0.9473684210526315,0.05263157894736842,0.894736842105263,True,Sin anclajes,Retirar bicicletas,63.3,3,Zona 3,0.5291666666666667,0.6416666666666666,0.5,0.4563510454664707,0.18671842584189405,0.5566666666666666,58.1,alto
